Predator,Habitat,Food and feeding
Fennec Fox," Fennecs subsist in arid desert environments. Stable sand dunes are believed to be ideal habitat, although the foxes also live in very sparsely vegetated sand near the Atlantic coast. Annual rainfall is less than 100 mm per year on the northern fringe of the Fennec’s distribution. On the southern fringe, it may be found up to theSahelian areas that receive as much as 300 mm rainfall per year. In the Sahara, sparse vegetation is usually dominated by An'stz'da spp., and Ephedm alata in large sand dunes.On small sand dunes, it is dominated by Panicum turgidum, Zygophyllum spp., and some-times by trees like Acacia spp. and Cappan's decidua.",". Fennecs are omnivorous, consuming insects, small rodents (e.g.jarulus jarrulus, Gerbillus spp., and Meriones spp.), lizards (e.g. Acanthodaclylus spp.),geckos (e.g. Stenodactylus spp.), skinks (e.g. Scincus albzfascz'atus), eggs, small birds (e.g.larks and sandgrouse), and various fruits and tubers. Fennecs hunt alone. They havenot been seen using the “mousejump” hunting strategy typical of most fox species,but reportedly dig to ﬁnd insects and small vertebrates. Like other foxes they cachefood by burying it."
Fishing cat,"Typically associatesd with wetlands such as marshes, reed beds, oxbow lakes,mangrove areas, and swamps. However, in the Nepalese lowlands three radio collared individuals spent most of their time in dense grasslands, sometimes well away from water","Teeth are not specially modified for catching fish and its diet probably includes any small to medium sized vertebrate it can catch. There are recordsof fishing cats killing frogS, snakes, rodents, Small Indian Civets, Chital fawns, smallpigs, COOts, ducks, sandpipers, and a variety of domestic animals such as goats, calves,poultry, and even dogs. They are powerful swimmers. They often hunt forfi�sh while fully immersed in water and have been seen catching fish by plunging their heads under water. They also flick 0r scoop fish out of the water with their paws. One report describes catching waterfowl by swimming underwater and seizing their legs from beneath"
Flat headed cat,". Has not been studied in the wild. Most collection records are from riparian habitats. There are also incidental observations in logged primary and secondary for est, freshwater swamp forest, and secondary forest/scrub habitat within coastal low-a landfloodplains, and in mature secondary forest. Also recorded from oil palm and rubber plantations, suggesting some tolerance for human-altered landscapes.","Morphological specializations (teeth, claws, eyes) and a few behavioral observations of captive animals suggest that its diet is composed largely of fish.Captives readily play in water, submerge their heads to seize pieces of fish, and adults seen to grope along bottom of pan of water with their forepaws spread wide, muchlike raccoons. Captive adults also killed rats and mice with a nape bite. In the wild, dietprobably includes fish, frogs, crustaceans, and small mammals."
Flat headed Cusimanse,. Tropical rainforest and assocmtea rlparlan IorCSL ,. Feeds on invertebrates and vertebrates of the forest floor and inrotting logs.
gambian mongoose," Semi-moist savannah and grass-land. semi-desert, and woodland ",. Mainly invertebrates (With some vertebrates).
Geoffrys cat,". Found in a varaiety Of temperate and subtropical habitats, Not 'well studied.but there are records in mesquite brush in the Pumguavan Chaco 1n xeric shrublands and mixed steppe of grass and shrub in foothills of Andes in Argentina patagonia.in coastal lagoons. mamhes and grasslands in Buenos Aires province argentina'. andin open woodlands. bushy areas. and savanna marshes inuruguay in chile the cats preferred dense cover in areas dominated bV trees and shulbs. From sea—level to 3300m in Andes..", Diet is knowm to include small rodents Oluﬁdael. cavies \le-idae). tucotucos (Ctenomn'dael. Coypu (Myocastoridae). birds (Psitmcidne. An.m—dae. Tinamidae. Cariamidae. Furnarlidae). fi�sh (Cichlidae. Chumcldac‘l. and frogs(Leptodactylidae). Porcupine quills (Erethizomidue) were found around the mouthof a specimen collected in Uruguay. 111 south Chile. the introduced European Hare occurred in more than 50% of all feces examined. Forages mainly on the ground. they also hunt in water and are known to be good swimmers. ln a study in southern chilean Patagoniaone radio Collared female swam across a 30 mwide fast flowing river at least ‘20 times and two males crossed the river whilst dispersing. Cats inthis area were also seen carrying hare carcasses into trees
Golden Jackel,"Tolerance of arid zones and an omnivorous diet enable Golden jackuls [0. I1\'Cin a wide variety ofhzibitats. These range from the Sahel t0 the evergreen forests ot Myanmar and Thailand Golden jackals occupy semi-desert, short to medium grasslands Lind suvannahs in Africa, and forested, mangrove, agricultural, rural. and scini—urlmnhabitats in India and Bangladesh. Golden jackals are opportunistic and will venture into human habitation at night to feed on garbage. They have been recorded at eleva-tions of 3800 m in the Bale Mountains of Ethiopia and are well established around hillstations at 2000 m in India.",". An omnivorous and opportunistic foragcr. lhc Golden‘lackal‘s dietvaries according to season and habitat. According to one. study in east Africa. althoughthey consume invertebrates and fruit, over 60% of Goldenjm‘knl dict consisted of ro-dents, lizards, snakes, birds (from quail to Ilamingocs), hares, and 'I‘homson‘s Gazelle(Eudorms lhommm). In India, over 60% of the diet comprised rodents, birds. and fruit inBharatpur, while in Kanha over 80% ()I'the diet consisted oi'rmlonls. reptiles. and fruit.In Sariska Tiger Reserve, India, scat analysis (it = 36) revealed that (loldcn‘lzicknl (lit‘lincluded mainly mammals (45% occurrence, of which 36% was rodents). vegetablematter (20%), birds (19%), and reptiles and invertebrates (8% ouch). (lol(lt'ii_]z1ckulsoften ingest large quantities ofvcgetable mutter, and (hiring the fruiting 30115011 in Indiathey feed intensively 0n the fruits of Ziziphus 51)., Carina mnwmln, szigimn (-ummn’, undpods of Pmsopisjuli/lom and Cassiaﬁstula. Single_izu‘kuls lypit‘ully hunt smaller prey likerodents, hares, and birds. They use their hearing,r to locale rodents in [h(- gruss and thenleap in the air and pounce on them; they also dig out Indian (Lcrlﬂls (’IEi/rm iudim)from their burrows. They have been observed to hunt young, nld, :nul inlirm ungulnu-xthat are sometimes 4—5 times their body weight. Although (lolilt-n Alilfkalls :m‘ :ihlt- tohunt alone, cooperative hunting in small packs ol'2—4 individuals is nl'lt-n more suu‘t‘ss—In] and permits them to kill larger prey, including antelope I'uwns mid lungur nmnkvvs(Pm'bytz's pileala and P. mtellw‘). Groups 0f5—I8 Goldmylnckuls hzm- Iim-n sighted S(‘Aly.enging 0n carcasses of large ungulates, and there is u n-purl nl‘ xilnilzn' aggregationson dumped food resources in Israel. In several ai‘czis 01' India and Bangladesh.jurkulssubsist primarily by scavenging 0n carrion 2|l1d garbage. They :Ilsn (‘nclu- lhml,"
Gray Fox," Closely associated With deciduous and southern pine forests interspersed withold ﬁelds and scrubby woodlands in eastern North America. In the west, commonlyfound in mixed agricultural, woodland, Chaparral, riparian landscapes, and shrubhabitats. In Central America, occupies forested areas and thick brush habitats, andin South America forested montane habitats. Northern Gray Foxes occur in semi-aridareas of the southwestern USA and northern Mexico where cover is sufﬁcient. Theyalso live at the margins of some urban areas.",". Omnivorous. During winter, prey consists largely of rabbits (Sylvilagusspp.) and rodents. In spring and summer it diversiﬁes to include insects (cg. grasshop-pers), birds, and sometimes carn'on. Northern Gray Foxes also feed on natural fruitsand nuts, Often consuming more of these foods in the fall as their availability increases."
Grey Wolf,"All northern habitats where there is suitable food, with highest densitieswhere prey biomass is highest. In west Asia and northeast Africa present in very arid environments. Dingoes are found in all habitats from tropical alpine moorlands totropical wetlands and forests to arid hot deserts.",". Extremely variable, but main prey consists of large ungulates(Moose Alces sp., Reindeer Rangifer tarandus, deer, Wild Boar Sus scmpha, etc.). GrayWolves will also eat smaller prey items, livestock, carrion, and garbage. In winter, theyhunt in packs, but in summer they hunt singly, in pairs, or in small groups. Chasesranging from 100 In to more than 5 km are the rule. Generally Gray Wolves end upwith, or tend to select, Older individuals, juveniles (under 1 year) or debilitated ani-mals, or those in otherwise poor condition. Average daily food consumption variesfrom 2-5—6-3 kg or more per day, and kill rates vary accordingly. Wolves ﬁrst attack therump of larger prey, but the head, shoulders, ﬂanks, 0r rump of smaller prey. Usually they eat most of the carcass, leaving only the larger bones and Chunks of hide. Whenthere is surplus food, wolves Will cache either regurgitated Chunks 01“ large pieces. Dln-goes, eat a diverse range of prey types and over 170 species have been identiﬁed rang-ing from insects to buffalo, with the main prey in Australia composed of magpie geese(A nsemnas semipalmam), Agile W’allabies (Macropus agilis), Red Kangaroos (Alacropusrufus); Wallaroos (Macropus mbustus), wallabies (Wallabia bicolor, Alacropus r-ufogn'seus),possums (Tﬂchosums vulpecula, Pseudoc/zeirus pm‘egrinus), Common Wbmbats (Vombatusursin 115), European Rabbits (Oryctolagus (2122270211215), rodents (Rattus villasisimus, R CONFI-ti, [Was musculus) and lizards (Ctenophorus nuchalis). In Asia, Dingoes live commensallywith humans in most regions and their main food items are rice, fruit, and Other tablescraps provided by people or scavenged."
Hoary Fox," Occurs in open cerrado habitats, but readily adapts to insect rich livestock pastures and agricultural fields. Rarely observed in densely wooded cerrado, ﬂood—plains. 01‘ dry or gallery forests.","Food and F ceding. Omnivorous, though the diet is mainly insects, particularly ground—dxs‘elling harvester termites (Syntlwrmes spp. and Comitmnes spp.), recorded in 87% offeces across its geographical range. Dung beetles are consumed in great quantitieswhen seasonally abundant. Other prey includes small mammals, grasshoppers, birds,and reptiles. Hoary Foxes tend to hunt as individuals or in loosely—knit pairs, withor without theirjuvenile offspring. F Craging group sizes of 3—5 were most commonduring periods of insect swarming. Hoary Foxes consume termites directly from theground surface, 01‘ from the underside of dried cattle dung, which they flip over bypushing the dung along the ground at speed. Fox pups start eating insects at the age ofat least two months. During the early rainy season, adult and young foxes catch flyingant and termite elates, as well as dung beetles."
Iberian lynx," Generally, most abundant in areas of high habitat diversity, particularly in amosaic of open forest mixed with extensive dense brush or shrub. In Donana NationalPark in south-west Spain, consistently prefer Mediterranean  scrubland habitat over all other habitat types they also use ash stands but avoid pine and eucalyptus plantations not unexpectedly the two preferred habitats contained the highest densities of rabbits the cats main prey more than 90% of daytime rest sites are in thick heather scrub the presence of permanent water sites and relatively low disturbance by humans are also important components of high quality habitat",". Feed almost exclusively on European Rabbits (Oryctolagus amicu—lus); unlike Eurasian Lynx, which is principally a predator of small ungulates. In Donna National Park, rabbits contribute 75 to 93% 0f the diet, but in other areas their diet includes a few other taxa. Fawns andjuvenile Fallow Deer and Red Deer form a minorpart Of the diet in fall and winter, and a variety of small murid rodents, snakes, and lizards are also occasionally taken. Also prey on birds, principally ducks and geese, and red-legged partridge (Alecton‘s rufa). In Don�ana hunt mainly in the open pastures and scrub forest edge between the scrublands and marshes. Kill rabbits with a bite to thebase of the skull. Deer are killed by suffocation, with one or more throat bites. Deer  kills are dragged into dense cover where they provide food for a single Lynx for several days. Like many other cats, they attempt to conceal kills by raking leaves, soil, and oth-er debris over what remains of the carcass. In captive feeding trials the maintenance diet for a male is estimated at 912 Kcal/day compared to 673 Kcal/day for a female.Feeding solely on rabbits could satisfy these energy requirements with 379 rabbits/yearfor males and 277 rabbits/year for a non reproducing female."
Indian Fox,"Prefers semi-arid plains, open scrub and grassland habitats where 1t cag easily hunt and dig dens. Avoids dense forests, steep terrain, tall grasslagds, and true eser ’91-The species is relatively abundant in areas of India where rainfall IS low and the typical vegetation is scrub, thorn, or dry deciduous forests, or short grasslands",". Indian Foxes are omnivorous, opportunlstlc feeders. Thelr dletconsists mainly of insects (e.g. crickets, winged termites, grasshoppers, ants, beetlegrubs) and spiders, small rodents, including Soft—furred F ield Rats (Millardia meltada) ,ﬁeld mice (Mus booduga), and Indian Gerbils, and birds and their eggs, including in—dian mynahs (Acridot/zeres m'stz's), ashy—crowned ﬁnch larks (Eremopten'x grisea) and graypartridges (Francolz'nus pondicm'anus). Other prey species include ground lizards, ratsnakes (Ptyas mucuosus), hedgehogs (Pamechz'nus nudivenms), and Indian Hares (Le—pus nigﬂcollz's). Indian Foxes feed on fruits of her (Zizz'lbhus spp.), neem (Azadz'mrlzmz'ndz'ca), mango (Manngem indica),jambu (Syizigium cummi), banyan (Ficus bmgalensis) ,melons, fruits, and the shoots and pods 0f Cicer an’etum. They have also been reportedeating the freshly voided pellets of sheep. They forage alone. ‘"
Indian Grey Mongoose," Dry secondary forests, thorn forests, disturbed areas, plantations, and nearhuman settlements. Recorded up to 2100 m. Frequents open, shrubby areas",". The diet is said to include rats, mice, snakes, lizards, frogs, insects,scorpions, centipedes, birds’ eggs, fruits, and roots. Has been seen feeding on car—rion. The remains of grey francolins (Francolinus pondicevianus), rodents, and desertmonitor (Varanus gn'seus) were found in a specimen stomach from Rajasthan, India.Another stomach contained termites and scorpions."
Indochinese clouded leopard," Usually associated with primary evergreen tropical raintorest, but little is known of its habitat requirements. Based on a relatively small number of locations visited by two radio collared Indochinese Clouded Leopards in Thailand, the cats preferdense primary evergreen forest. In south Nepal a subadult male was captured in dry woodlands, radiocollared and relocated to a nearby national park. During the. ten days it was followed it used L211] grasslands and hill forest. In other parts of their geographic range there are anecdotal accounts of Indochinese Clouded Leopards using relatively open, dry tropical forest, secondary and logged forest, and mangrove swamps. ","A variety of terrestrial and arboreal vertebrates are reported as prey,including porcupines, Bearded Pigs (Sus barbatus), young Sambars (Rum unimlor),muntjacs (A/Iumz'arus), mouse deers (Tragulus) , and palm civets. Primates include Pro-boscis Monkeys (Nasalz's lamatus), Crabeating Macaques (zMacmra ﬁts‘tricularz's), Southern Pigtailed Macaques (Alamm 'nemestiina), and langurs. Domestic stock, including goats. pigs, and poultry may also be taken. The Indochinese Clouded Lcopards arborial abilities are well known and with its large feet. short legs, and long tail, it is well equipped for moving about in the trees. However, most hunting and traveling is prob-ably on the ground."
Island Fox,"Present in all habitats on the islands, including native perennial and exotic European grassland, coastal sage scrub, man'time desert scrub, Coreopsz's scrub, Isocomascrub, Chaparral, oak woodland, pine woodland, riparian, and inland and coastal dune.Generally not found in areas highly degraded by human disturbance or overgrazing.Recently, Foxes have become scarce owing to precipitous population declines. On thenorthern Channel Islands declines are principally a consequence of hyperpredationby golden eagles (Aquila chrysaetos); on those islands the foxes are more numerous inhabitats with dense cover",". Island F oxes are omnivorous and feed on a wide variety of insects,vertebrates, fruits, terrestrial molluscs, and near—shore invertebrates. The relativeabundance of insects, mammals, and plant material in the diet has been found todiffer by habitat type, and by island, depending upon availability of food items. Forexample, N orth American Deermouse (Peromyscus maniculatus) occur at high densitieson San Miguel Island, where they constitute a large proportion of Fox diet. On SantaCruz Island,]erusalem crickets (Stmopelmatusfuscus) are a principal prey. The fruits ofthe coastal prickly pear cactus ( Opuntia littoralz's) are a principal food on San ClementeIsland. Bird remains in droppings are usually occur infrequently (3— 6%), except inSan Miguel Island where bird remains were found in 22% (n = 208). Island Foxes pri-marily forage alone, by coursing back and forth through suitable habitat patches andthen mowing past little—used habitats to other suitable habitat patches."
Jacksons mongoose,". Montalw forest and bamboo zones, but also lowland forest. Found up to3300 m. ","Rodent remains of rodents 0f the genera [m.gwnys 21nd ()I‘omyx havebeen found in stomachs. In the Aberdare Mountains (Kenya), the volume of fooditems in 40 scars was over 50% rodents (Oromys sp., Dasym’vs sp., and Pmomys Sp.) and40% insects (army ants Anona sp., beetles, caterpillars, and weevils), with millipcdvs,snails, lizards, and eggs also part of the diet. About 80% 0f thejuveniles’ diet. was m—dents (Otomys sp., Lophummys sp., Mus Sp, Pmomys sp.), but beetles, lizards, birds, and21 few ants were also included."
Jaguar,"jaguars are found in a variety of forested habitats, including lowland trnpua]moist forest, gallery forests along rivers and streams, seasonally flooded wooded savannas, mangrove swamps, premontane moist forest, semideciduous forest, and humid montane and cloud forests to about 2000 111.jaguars are Often found in association with rivers, lakes and weIl-watered areas such as the swampy grasslands of the BrazilianPantanal. They are excellent swimmers and have been seen crossing large rivers. like.Tigers, during the hot season Jaguars may spend the heat of the day half-submerged in  a stream. They may occasionally be found in arid areas, but typically only where watercourses penetrate this drier habitat jaguars avoid open forest and grassland habita tbut are commonly found along the edges of forest Openings. ","jaguars are opportunistic predators, capable of killing almost amprey they encounter. The cats powerful jaws and robust canine teeth enable it to kill livestock weighing three to four times its own weight, often with a bite to the back ofthe skull, rather than the more common neck or throat bite employed by other large cats. The canines are also strong enough to penetrate the hard shells of large turtles and the thick hides of crocodilians. More than 85 prey Species are listed in the cats diet. In the seasonally flooded savannas of Venezuela jaguars preferred Capybam(Hydrochoerus hydrocham's) and Collared Peccary (Peczm' tajacu), but they also preyed on White-tailed Deer (Odocoilws virginianus), caiman, freshwater turtles and turtle egg(Chelidae, Pelomedusidae), tortoises, iguanas, and cattle. Collared Peccary, agout'Land large turtles also formed the bulk of the Jaguars diet in the lowland tropical foest of Manu National Park, Peru.jaguars in Iguagu National Park, Brazil, fed mainlyon Collared Peccary, White-lipped Peccary ( Tayassu pecam'), Brocket (Mazama) and white tailed Deer; minor prey included coati, agouti, marsupials, armadillos, rabbits.Paca (Cum'culus paw), squirrels, birds, reptiles and primates. In the Cockscomb Basis of Belize armadillos were the single most important prey, occurring in half of all jaguar feces. Three-toed sloths (Bradypus) and iguanas were the prominent prey items in thejaguar’s diet in La Selva, Costa Rica. In the Paraguayan Chaco, small and medium-sized mammals, principally Brocket Deer, rabbits, armadillos, and marsupials were impor-tant prey. Although jaguars are especially fond of peccaries, the cat’s basic diet tends to reflect the relative abundance of the various prey species in an area. In areas where native ungulates have been depleted and forest habitats converted to pastures for demestic stock,jaguars subsist to a large extent on cattle. TheJaguar can Climb trees it‘llhas to, but it is essentially a terrestrial hunter. Like many other felids,jaguars hunt by walking slowly along game trails and roads, listening and looking for prey. They will wait in ambush at waterholes 0r wallows for peccaries 0r patrol river banks in search 01 basking crocodilians 0r turtles. Having spotted an animal they will stalk it, using 01‘1“bit of cover to get as close as possible, before launching an attack. After one or IM‘bounds the prey is seized with the claws and killed with a bitejaguars have been sewjumping into the water after Capybara and managing to catch them before the} (11""dive to safety. Prey may be eaten 0n the spot or carried for several hundred melt‘l"" “‘more to a site where the cat presumably feels comfortable."
Jaguarundi,". Found in a wide variety Of habitats, including semi arid thorn forest, pastures brushland, scrub, Chaparrel, swampy grasslands, tropical thorn forest, tropical decidiious forest, semi-deciduous forest, and humid premontane forest. They are most often seen in areas of dense cover mixed with openings and edges. In Belize, radio-collared jaguarundi were most frequently associated with riparian and old field habitats. In Paraguay, it is found in thickets, along forest edges, and in hedge-like strips ofscrub intermingled with spiny bromeliads. Radio  tagged jaguarundi in Mexico spent 53% (,1‘their time in forested habitats and 47% in grasslands.",". Dietary information is largely anectodal.jaguarundi are thought to feed primarily on animals weighing less than one kg, but they occasionally take larger prey. In Belize, an examination of 46 jaguarundi scats revealed that small mammals.principally rats and mice (Muridae, Heteroniyidae), were the dominant prey. Birds ranked second in frequency of occurrence, followed by opossums and fruit. Arthropod remains were found in 72% of scats. In Venezuela, cotton rats, rice rats, cane mice. and rabbits occurred in about half the stomachs 0f 23 road killed jaguarundi; reptiles (Teiidae, Iguanidae) and birds occurred in about half the stomachs. The stomachs of two jaguarundi in Brazil contained the remains of a cavy, a teiid lizard, and several birds (Tinamidae, Columbidae). jaguarundi has also been observed feeding on characid fish that were trapped in small pools. Most prey is taken on the ground, and many of the birds identified in scats  are species that spend considerable time foraging on the ground."
Jungle cat," Prefers tall grass, thick bush, riverine swamps, and reed beds. Few recordsfrom dense jungle. Sometimes found in association with man-made fish ponds, resevoirs, and sprinkler irrigated landscapes. Also survives in drier, open forests, and even sandhill desert and steppe habitats. Adaptable species. Rarely found above 1000m elevation",". Mammals are the principal prey. Smaller species include voles,gerbils, jirds (Gerbilinae), muskrats, jerboas, and ground squirrels. Other mammals include hares, Coypu (Myocastoridae) , and the occasional Chital fawn. Birds rank sec-ond in importance, with ducks, coots, pheasants, partridges, peafowl, and jungle fowl,sparrows, and domestic poultry being prominent in the diet. Other prey include frogs,lizards (Agamidae, Lacertidae), snakes (Colubridae, Viperidae), and turtles. Minor el-ements include insects, fish and turtle eggs. Stalk and ambush hunters, capture most prey on ground, but can Climb and leap well."
Kakoveld slender mongoose,". Appears [0‘select érid aréas, with limited bushy cover, but avoids true deserts(such as the Namib and surrounding areas). The black form ( nigmta) seems to strcmg—1y select scattered granite boulders, avoiding areas in between.  ",". Preys on a variety of small rodents, birds, reptiles, and Insects.Also feeds on sarcophagous arthropods in and around carrion, and ﬂeshy seedswhen available."
Kit Fox,"Arid and semi-arid regions including desert scrub, Chaparral, halophytic, andgrassland communities. It is found at elevations ranging from 400—1900 m, althoughKit Foxes generally avoid rugged terrain. They use agricultural lands to some extentand can successfully inhabit urban environments.",". Kit Foxes primarily consume rodents, lagomorphs, and insects.Main prey includes kangaroo rats (Dipodo-mys spp.), prairie dogs (Cynomys spp.), Black-tailed Jackrabbits (Lepus californicus), and cottontails (Sylvilagus 51313.). Other itemsconsumed include birds, reptiles, and carrion. Plant material is rarely consumed, withthe occasional exception of cactus fruits. Kit Foxes mostly forage solitarily."
Guina,". Southern beech forest and temperate rain forest. A study population on thenorth-west coast of Isla Grande d6 Chiloé, in Chile, used fragmented remnants ofnatural forest interspersed with raw'nes and steep coastal forest. Strips. They avoided agricultural fields, pastures, and Cleared areas. They move between forest tracts by travelling along vegetated corridors. Below about 2000 m.",". Diet includes birds, primarily ground-dwelling thrushes (Turdi-dae), lapwings (( Ihuradiidae), tapaculos (Rhimmyptidac), domestic geese, and chick-ens. Other prey include small rodents (Raitus spp.) and lizards (lguanidae)."
Leopard cat," The- broadest distribution of all small Asian felids, extending from southernIndia to the islands on the Sunda Shelf and north to the Russian Far East They are found in a great variety of forest types, from lowland tropical evergreen rainfforest and rubber and oil palm plantations at sea level to moist temperate broadleaf and dry coniferous forests in the Himalayas at 3000 m. Also does well in successional habitats. shrub forest, farmlands, and on coastal islands. It is rarely found in Coldsteppe grasslands 0r arid areas. In Russia is commonly associated with river valleys,forested ravines and coastal habitats where the cover is deciduous broadleaf forest. Their small feet are not well adapted for moving in deep snow and they avoid areas where snow depth exceeds 10 cm. Radio-collared cats in Thailands Huai KhaKhaeng Wildlife Sanctuary rarely visited the dry deciduous dipterocarp forest, a ﬁre.maintained habitat with little understory vegetation; they preferred mixed deciduous and dry evergreen forest habitats, especially those associated with watercourses,These habitats not only offered more cover but they also harbored more prey, Simi-larly, radio tagged cats in Tabin Wildlife Reserve, Sabah, used the oil palm plantertions just outside the Reserve more than expected, presumably because of the highdensity OfWhiteheads Rats, the cats principle prey",". Feeds on a variety ofsmall prey, including rodents, reptiles, birds,amphibians, crabs, and insects. They are excellent swimmers and captives spend much time playing in water. Small birds were the principal prey in Pakistan; secondary prey included wood mice (Muridae) andflying squirrels. In Kaeng Krachan National Park, Thailand, small mammals, principally Rattus spp. and Mus spp, were,the dominant prey; incidential prey included Tree Shrews and hares. Based on ananalysis of 230 scats, 0n Tsushima Island japan, fed largely on murid rats (72-13%)- but they also ate moles, birds, amphibians, and insects. On reomote Island, 95 Preyspecies were identified in 849 scats. Rats were the dominant prey, but flying fox skinks, and birds were also important. Incidental prey included amphibians. cmbf.and insects. In Tabin Wildlife Reserve, Sabah, murid rats, especially Whitehead Sundaic Maxomys and the Sundaic Arboreal Niviventer, formed the bulk of the diet.although lizards, snakes, and frogs were also important, particularly in the Wt‘l 5911'son, On Peninsular Malaysia. forest andfi�eld rats (Muridae) were the major pl‘t‘V' butthe remains of lizards (Varanidae), snakes (Xenopeltidae), tree shrews, and trill”were also identifi�ed in stomachs."
Lion,"Lions have a wide habitat tolerance. They are not found in dense lowland for-estsof West Africa and the Congo Basin, but will penetrate deep into desert, especially along avenues of watcrcourses. They are common in semi-desert areas. They will drink when water is available, but are not dependent on it, getting their moisture require-ments from their prey and even plants (tsamma melon in the Kalahari Desert). Opti-mal habitat appears to be Open woodlands and thick bush, scrub, and grass complexes,providing ample supply of food in the formof medium to large sized ungulates, some shade for resting in the heat of the day, and the barest of cover to facilitate stalking of prey. Range up to 4000 m in Ethiopia. The Lion formerly ranged from North Africathrough south-west Asia, where it disappeared from most countries within the last 150years. west into Europe, where it became extinct almost 2000 years ago, and east intoIndia. Lions survived in the central Saharan Desert 0n the edge of the Air :Vlmmtainsuntil about 60 years ago. ",". Medium- to large-sized ungulates make up the bulk of their diet but lions are generalists taking a large variety of vertebrates from mice to young rhinos hippos and african elephants birds up to the size of an ostrich as well as reptiles fish and even insects major large ungulate species include a large varaiety of bovids like african buffalo blue wildebeest hartebeest waterbuck kob sable antelope gemsbok eland impala springbok as well as giraffe warthog and zebra in africa and deer as well as a high percentage of livestock in asis individual differences in prey selection and killing techniques are discernible in different prides in the same area indicating that learning plays a strong role in the lions hunting behaviour ie hunting of brown fur seals on the namibian coast in the serengeti 30% of stalks were successful when members of the pride took part against 17-19% when only a single individual was involved lions do not take account of wind direction when stalking prey however they will often try to cut prey off by running ahead of it. speeds of 45-60km/h may be achieved in a rush for up to a few hundred meters usually no more than 100-200 the attack delivered to the rump or shoulders with the weight of the Lions often bringing the prey to the ground. Sometimes the preys neck is broken in falling. As soon as the prey is down it is seized by the throat or muzzle to effect strangulation. The Lions feed at the site of the kill or drag it 10 the nearest cover. The belly is ripped open and the stomach and intestines pulled out. Lions, especially males, frequently scavenge, acquiring up to 53% of food items in the open plains of the Serengeti this way. This figure decreases to 5% in more arid environments, where prey occurs at lower density. However, in the woodlands ()i~Kruger National Park, male Lions acquire most of their food by hunting rather than scavenging. In Kruger the main prey of male Lions was African Buffalo; fenmles fed onthe most abundant medium— sized ungulates, such as Blue Wildebeest and Burchell‘sZebra. Lions will watch vultures descending on kills of other predators. Protection of kills against Spotted Hyenas, is greatly enhanced by the presence of a male. F(‘IU'dlCSmay lose up to 20% of their kills to Spotted Hyenas and a further 17% t0 unrelated Lions. In the absence of their normal prey, Lions can cause grave losses to cattle and small stock, or may even become maneaters. The individuals involved are not alway old and decrepit."
Long nosed mongoose,"Foundhin [brests near swamps, streams, and streambecls. A radio—trackingstudy in the Central African Republic showed that this species spent most of its timein upland mixed-species forest; stream habitat was very important. and they generallyavoided Stands ofopen understorey “molapa” forest (Gilbertiodend'm-n dewevrei). Record-ed up to 640 m. ","The diet is mainly arthropods and small mammals. In the CentralAfrican Republic, the frequency of occurrence of food items in 346 seats was: beetles(72%), ()Ithopterans (68%), mammals (52%, including 28% rodents, 19% shrews,6% ungulates, 5% porcupines, ()-9% pangolins, ()-6% primates, 08% bats, and 08%Hyraxes), termites (41%), ants (20%), millipedes (17%), fruits (8%), frogs and toads(8%), snakes (8%), birds (7%), butterﬂies and moths (5%), lizards and skinks (4%),spiders, scorpions and larvae (4%), bees and wasps (2%), crustaceans (06%), and ﬁsh(08%). Mammal prey greater than 5 kg was rarely taken; Blue Duikers (Philantombam0ntz’cola) were the most common large prey found in seats. F luctuations in rodentavailability had no effect on the occurrence of shrews in the diet. Among eight CO-existing carnivores in the Central African Republic, Long-nosed Mongooses had thesecond highest niche breadth. In Nigeria, two stomachs contained a centipede, a snail,and some remains of fruits and berries. Long-nosed Mongooses are said to carry snailsto a particular spot and to break them by throwing them backwards with the forepawsagainst a tree or a rock."
Maned Wolf," Favors tall grasslands, shrub habitats, woodland with an open canopy cerrado"", and wet fields (which may be seasonally flooded). Some evidence indicates thatthey may prefer areas with low to medium shrub density. Maned Wolves are also seenin cultivated areas and pastures. Daytime resting areas include gallery forests, cerrado.and marshy areas near rivers. There is some evidence that they can utilize cultivatedland for hunting and resting, but additional studies are essential to quantify how wellthe species tolerates intensive agricultural activity. ",". Omnivorous, consuming principally fruits and small- to medium-wed vertebrates. Numerous studies document a broadly varied diet of C. 50% plant mtl c. 50% animal material. The fruit Salanum lymcarpum grows throughout much ofthe range and is a primaiy food source; other important items include small mammals((Zaxiidae. Muridae, Echimydae) and armadillos (Dasypodidae), other fruits (Annon-aceae. Myrtaceae, Palmae, Bromeliaceae, and others), birds (Tinamidae, Emberizidae,and others), reptiles, and arthropods. Although the frequency of plant and animalitems found in fecal samples is approximately equal, the biomass of animal items isusually greater than that Of plant items. Certain items, such as rodents and Solanum,are consumed year round, but diet varies with food availability. At least occasionally,Pampas Deer (Ozotoreros bezoartz'cus) are also consumed. In one study, deer occurredin 24% of 1673 fecal samples analyzed. Strategies for hunting animal prey includestalking with a ﬁnal pounce, digging after burrowing animals, leaping into the air tocapture flying birds and insects, and sprinting after fleeing deer. Approximately 21%of all hunting attempts end with the successful capture of prey, and the strategies donot differ in their success rates. Maned Wolves have been recorded feeding on Coyputhat were caught in traps set by hunters, and have been observed scavenging oppor-tunistically 0n road-kill carcasses."
